name,phone,phone_type,email,birthday,group
Dayana Boldysh,87474698780,mobile,dayana@gmail.com,2007-07-24,Friend
John Doe,87011234567,mobile,john.doe@gmail.com,1990-06-15,Work
Jane Smith,87027654321,work,jane.smith@mail.ru,1988-11-23,Work
Bob Johnson,87039876543,home,bob.j@yahoo.com,1975-04-07,Friend
Alice Brown,87041239876,mobile,alice.brown@gmail.com,1992-09-30,Family
Charlie Wilson,87058765432,mobile,charlie.w@outlook.com,1985-01-18,Friend
Diana Prince,87069988777,work,diana.prince@gmail.com,1993-07-04,Work
Evan Peters,87071122334,mobile,evan.p@mail.ru,1998-12-25,Friend
Fiona Apple,87082233445,home,fiona.apple@gmail.com,1980-09-13,Other
George Clooney,87093344556,work,george.c@outlook.com,1961-05-06,Other
Hannah Montana,87004455667,mobile,hannah.m@gmail.com,2000-11-23,Family
